,r362,,,r397,,,r516,,,
ID,ëäëŒéüêî,closeness ,betweenness,ëäëŒéüêî,closeness ,betweenness,ëäëŒéüêî,closeness ,betweenness,ëäëŒéüêîÇÃsd
305,0.034883721,0.000783699,73.00423809,,,,0.036392405,0.000671141,210.2391838,1.13806E-06
121,0.046511628,0.000702741,3.303004553,0.073825503,0.000542594,250.6800722,0.068037975,0.000652316,93.11471962,0.000207154
122,0.046511628,0.000702741,3.303004553,,,,0.037974684,0.000586854,5.319286135,3.64397E-05
123,0.046511628,0.000702741,3.303004553,,,,0.071202532,0.000635728,76.10546918,0.00030482
124,0.046511628,0.000702741,3.303004553,,,,0.037974684,0.000586854,5.319286135,3.64397E-05
320,0.09496124,0.000801282,313.5666333,0.008948546,0.000475059,143.3338522,0.161392405,0.000773994,1858.68796,0.005841736
73,0.075581395,0.000794913,484.7108071,,,,0.071202532,0.00070028,793.3339302,9.58722E-06
307,0.021317829,0.00068918,25.5754275,0.14541387,0.000539665,887.3959397,0.02056962,0.000595238,7.534774622,0.005164412
395,0.021317829,0.000754148,42.81977834,,,,0.017405063,0.000649773,23.59663398,7.65487E-06
396,0.023255814,0.000761615,56.29808644,,,,0.018987342,0.000661376,34.81620946,9.10993E-06
498,0.007751938,0.000670691,2.159366766,,,,0.006329114,0.000560852,4.37037542,1.01221E-06
454,0.025193798,0.000659631,103.5458781,0.006711409,0.00047259,1.134497508,0.071202532,0.000734214,922.4307487,0.001102918
455,0.011627907,0.000668449,20.2798233,,,,0.042721519,0.00070373,191.0571141,0.000483406
256,0.032945736,0.000809061,293.5196796,,,,0.026898734,0.000681663,220.3087986,1.82831E-05
126,0.100775194,0.00083682,1263.882315,0.042505593,0.000520562,4.120834169,0.085443038,0.000710227,1006.298327,0.000912341
416,0.060077519,0.000763942,160.4351866,,,,0.053797468,0.000655738,117.5309694,1.97195E-05
367,0.03875969,0.000806452,412.1167613,,,,0.03164557,0.000686342,388.8257756,2.53054E-05
78,0.013565891,0.00073046,43.49389949,0.15212528,0.000558347,1427.697833,0.011075949,0.000620347,24.20660445,0.006516636
162,0.118217054,0.000819001,374.5301528,0.147651007,0.000564334,1128.036201,0.10443038,0.000696864,487.6870187,0.000487409
317,0.085271318,0.000771605,154.7004104,0.125279642,0.000534759,57.33923969,0.087025316,0.000691563,111.9872314,0.000511189
332,0.067829457,0.000773994,30.25816562,0.167785235,0.000549451,1650.804169,0.099683544,0.000685871,257.4513549,0.00260728
80,0.042635659,0.000807103,595.8931138,,,,0.036392405,0.000696864,349.6034866,1.94891E-05
334,0.034883721,0.000793021,130.8867253,,,,0.030063291,0.000691085,59.05210995,1.16183E-05
335,0.036821705,0.000777605,125.2738673,,,,0.039556962,0.000726744,179.9401312,3.74081E-06
283,0.063953488,0.000794913,626.3071846,0.268456376,0.000540541,1138.063976,0.082278481,0.000714286,1179.985409,0.012803241
82,0.067829457,0.00075643,259.2080707,0.105145414,0.000538793,325.1068833,,,,0.00069624
79,0.03875969,0.000786164,263.2911413,0.024608501,0.000501002,12.42710895,0.037974684,0.000648929,150.7051818,6.32545E-05
209,0.013565891,0.000636132,4.392185932,,,,0.011075949,0.000574383,0.438217461,3.09991E-06
210,0.013565891,0.000636132,4.392185932,,,,0.011075949,0.000574383,0.438217461,3.09991E-06
211,0.013565891,0.000636132,4.392185932,0.015659955,0.000459348,0.03030303,0.011075949,0.000574383,0.438217461,5.26634E-06
212,0.013565891,0.000636132,4.392185932,,,,0.011075949,0.000574383,0.438217461,3.09991E-06
369,0.005813953,0.000652316,23.65481567,,,,0.004746835,0.00057241,14.42099415,5.6937E-07
404,0.054263566,0.000710227,60.73979253,0.07606264,0.000506073,293.1817669,0.066455696,0.000647668,243.600531,0.000119357
308,0.052325581,0.000702741,246.0902314,,,,0.047468354,0.000592417,141.1178172,1.17963E-05
323,0.034883721,0.000748503,149.3940492,0.087248322,0.000528262,268.6511706,0.006329114,0.000591017,1.599136547,0.001684223
371,0.01744186,0.000754148,47.19747127,,,,0.011075949,0.00065445,13.78788585,2.02624E-05
81,0.036821705,0.00078125,121.744531,,,,0.058544304,0.000647668,219.225736,0.000235936
199,0.032945736,0.000803859,160.4013772,0.143176734,0.000525486,208.506808,0.034810127,0.000698812,172.5659179,0.003982945
309,0.104651163,0.000830565,775.6016945,,,,0.10443038,0.000694444,340.1855257,2.43726E-08
333,0.067829457,0.000773994,30.25816562,0.022371365,0.00048852,44.69308334,0.071202532,0.00070028,47.95853262,0.000743716
337,0.067829457,0.000827815,161.7286142,0.058165548,0.000517866,314.6153736,0.071202532,0.000751315,285.6806942,4.57886E-05
171,0.025193798,0.00075815,271.7175351,,,,0.02056962,0.000641437,175.1823517,1.06915E-05
240,0.046511628,0.000708717,81.41497088,0.015659955,0.000490196,8.14306767,0.044303797,0.000629723,69.48986442,0.000296195
84,0.015503876,0.000489237,2.173218571,0.07606264,0.00054407,54.36521612,0.012658228,0.000591366,42.88233661,0.001282597
76,0.021317829,0.000458505,0.368144777,,,,0.058544304,0.000691085,1322.580668,0.000692905
339,0.046511628,0.000834725,330.4904034,0.147651007,0.000528541,114.4897677,0.069620253,0.00070922,961.9482677,0.002808664
257,0.009689922,0.000488759,0,,,,0.007911392,0.000558036,1.588170028,1.58158E-06
216,0.05620155,0.000776398,748.484386,0.093959732,0.000522466,259.8355068,0.091772152,0.000724113,1843.715392,0.000449289
217,0.040697674,0.000722022,87.71315286,,,,0.034810127,0.00063012,148.1268874,1.73316E-05
218,0.091085271,0.000778816,124.6073259,0.091722595,0.000535906,471.7426782,0.087025316,0.000699301,300.2733666,6.49231E-06
281,0.11627907,0.000865052,1621.34095,0.026845638,0.000509165,72.06457613,0.132911392,0.000723066,1426.129151,0.003254153
373,0.048449612,0.000796813,198.4291836,,,,0.042721519,0.000658762,59.4923371,1.64055E-05
374,0.060077519,0.000791139,156.7954967,0.060402685,0.000523286,56.74682613,0.066455696,0.00069735,167.2326911,1.29043E-05
375,0.025193798,0.000641026,0.296504329,,,,0.025316456,0.000563698,0.990126976,7.5224E-09
207,0.046511628,0.000761035,63.28705716,,,,0.039556962,0.000650618,42.29443349,2.41837E-05
220,0.034883721,0.00083612,151.5962613,0.033557047,0.000516262,13.42839888,0.028481013,0.000705716,98.96739127,1.14201E-05
284,0.011627907,0.000491642,0.075847839,,,,0.009493671,0.000585138,5.322573397,2.27748E-06
41,0.031007752,0.000753012,238.0609466,,,,0.033227848,0.000680272,21.93330585,2.46441E-06
421,0.015503876,0.000517063,0,,,,0.012658228,0.000612745,15.3530381,4.04886E-06
422,0.034883721,0.000728332,99.58635144,,,,0.030063291,0.000667557,132.0224677,1.16183E-05
411,0.007751938,0.000571755,6.76023393,,,,0.006329114,0.000482393,5.391335692,1.01221E-06
377,0.046511628,0.000829187,627.0010136,0.100671141,0.000543478,1208.532172,0.039556962,0.000704722,443.5175584,0.001119427
86,0.015503876,0.000771605,46.68271108,,,,0.012658228,0.00066357,28.78173027,4.04886E-06
222,0.015503876,0.000759301,20.54944018,0.071588367,0.000542594,187.0133327,0.012658228,0.00064433,16.45203112,0.001104388
378,0.01744186,0.000687758,517.9128773,0.105145414,0.000533903,288.655482,0.014240506,0.000597372,634.5315848,0.002660977
219,0.046511628,0.0008285,155.4587354,,,,0.039556962,0.000704225,102.7506602,2.41837E-05
457,0.011627907,0.000688231,26.63219379,0.024608501,0.000501002,12.42710895,0.02056962,0.000670241,47.37338166,4.41271E-05
379,0.042635659,0.000748503,462.4161308,,,,0.014240506,0.000573723,2.131931398,0.000403142
399,0.01744186,0.000660502,3.654692078,,,,0.014240506,0.000573723,2.131931398,5.12433E-06
400,0.025193798,0.00066313,170.1617228,,,,0.02056962,0.000588582,78.57100079,1.06915E-05
380,0.015503876,0.000687285,3.912877264,,,,0.012658228,0.000597015,4.531584781,4.04886E-06
381,0.015503876,0.000687285,3.912877264,,,,0.025316456,0.000645578,247.9444727,4.81434E-05
382,0.015503876,0.000687285,3.912877264,0.073825503,0.00049456,1.483685398,0.012658228,0.000597015,4.531584781,0.001191824
417,0.036821705,0.000794913,364.5338625,0.013422819,0.000484731,3.448515461,0.056962025,0.000723066,719.8427388,0.0004748
425,0.015503876,0.000664894,45.857948,,,,0.012658228,0.000594884,28.18473975,4.04886E-06
225,0.011627907,0.000719942,8.605861822,,,,0.009493671,0.000618812,3.530577506,2.27748E-06
77,0.021317829,0.000779423,273.5247304,,,,0.017405063,0.000655308,215.889146,7.65487E-06
440,0.009689922,0.000645578,0.912381343,0.004474273,0.000422297,0.505227717,0.007911392,0.000550964,0.071428571,7.02999E-06
441,0.009689922,0.000645578,0.912381343,,,,0.007911392,0.000550964,0.071428571,1.58158E-06
267,0.079457364,0.000812348,127.972748,0.286353468,0.000556793,1034.579734,0.069620253,0.000628931,83.56834522,0.014979342
125,0.046511628,0.000702741,3.303004553,0.098434004,0.000540833,282.5605135,0.037974684,0.000586854,5.319286135,0.00107069
227,0.046511628,0.000787402,93.82090975,0.11409396,0.000500751,32.78985747,0.030063291,0.000670691,84.62643839,0.001983179
304,0.046511628,0.00075815,207.5340043,,,,,,,#DIV/0!
453,0.023255814,0.000690131,328.0108946,,,,0.018987342,0.000591017,148.8458813,9.10993E-06
402,0.019379845,0.000629327,9.616018242,0.042505593,0.00053135,37.14569931,0.036392405,0.000678426,864.9695575,0.0001436
492,0.01744186,0.000620347,0,0.053691275,0.000529381,71.60553855,0.014240506,0.000542299,0,0.000480105
458,0.036821705,0.000766871,926.7045052,0.064876957,0.00053135,196.2612106,0.03164557,0.000657462,483.4159211,0.000319702
493,0.01744186,0.000620347,0,0.042505593,0.00053135,37.14569931,0.014240506,0.000542299,0,0.000239559
494,0.01744186,0.000620347,0,0.073825503,0.000513875,528.5900209,0.05221519,0.000701262,949.7753673,0.000809218
495,0.01744186,0.000620347,0,0.051454139,0.000536481,181.1656769,0.014240506,0.000542299,0,0.000425323
428,0.015503876,0.000636537,253.9320604,0.029082774,0.000516262,61.75225654,0.015822785,0.000634921,12.56143072,6.00526E-05
286,0.05620155,0.000819672,51.09970186,,,,0.045886076,0.000689655,107.0748969,5.32045E-05
287,0.05620155,0.000819672,51.09970186,,,,0.045886076,0.000689655,107.0748969,5.32045E-05
288,0.05620155,0.000819672,51.09970186,0.053691275,0.000488759,1.670481304,0.074367089,0.000655308,173.2782474,0.000127296
289,0.05620155,0.000819672,51.09970186,,,,0.055379747,0.000629723,60.56192042,3.37681E-07
290,0.081395349,0.000841751,564.4166891,0.020134228,0.000494805,5.611991791,0.080696203,0.000655308,141.6078331,0.001236861
384,0.005813953,0.000659196,1.777397834,,,,0.004746835,0.00056338,2.38927749,5.6937E-07
42,0.029069767,0.000757576,10.09262292,,,,0.033227848,0.000680272,21.93330585,8.64482E-06
43,0.029069767,0.000757576,10.09262292,,,,0.033227848,0.000680272,21.93330585,8.64482E-06
44,0.029069767,0.000757576,10.09262292,,,,,,,#DIV/0!
45,0.029069767,0.000757576,10.09262292,,,,,,,#DIV/0!
46,0.029069767,0.000757576,10.09262292,,,,,,,#DIV/0!
47,0.029069767,0.000757576,10.09262292,,,,0.033227848,0.000680272,21.93330585,8.64482E-06
291,0.063953488,0.000833333,428.3789959,,,,0.075949367,0.000653595,155.4557958,7.19506E-05
229,0.063953488,0.000780031,484.8411787,0.080536913,0.000533049,702.1398451,0.077531646,0.000730994,1457.855257,7.8068E-05
301,0.07751938,0.000753012,565.8705479,,,,0.036392405,0.000629723,72.52951397,0.000845714
511,0.005813953,0.000582072,0,,,,0.004746835,0.00049505,0,5.6937E-07
215,0.011627907,0.000678426,251.1369088,0.049217002,0.000520291,160.7047992,0.033227848,0.000672495,939.6339239,0.000355858
228,0.093023256,0.000869565,527.5259862,0.071588367,0.000520291,57.43122863,0.075949367,0.000726744,435.2769384,0.000128332
361,0.069767442,0.000800641,55.99342658,0.111856823,0.0005,23.30729963,0.058544304,0.000673401,25.98246172,0.00078995
259,0.071705426,0.000779423,377.1010209,,,,0.088607595,0.000672948,375.9877523,0.000142842
312,0.013565891,0.000651466,34.96414822,,,,0.011075949,0.000561482,9.422861761,3.09991E-06
310,0.013565891,0.0006035,0,,,,0.017405063,0.000630915,284.4416565,7.36962E-06
313,0.013565891,0.000651466,34.96414822,,,,0.011075949,0.000561482,9.422861761,3.09991E-06
487,0.009689922,0.000570125,0.548030858,,,,0.007911392,0.000533333,0.608356195,1.58158E-06
488,0.009689922,0.000570125,0.548030858,0.020134228,0.000459137,6.217603501,0.107594937,0.000746826,1872.418524,0.002890642
254,0.052325581,0.000685401,29.64212581,,,,0.045886076,0.000606796,20.98520179,2.07336E-05
387,0.025193798,0.000705219,3.269274926,0.116331096,0.000511509,237.3081483,0.012658228,0.000524109,0,0.003201869
357,0.027131783,0.000710227,5.79814246,0.055928412,0.000535045,102.1107232,0.014240506,0.000563063,197.5223305,0.000455552
388,0.025193798,0.000705219,3.269274926,,,,,,,#DIV/0!
389,0.025193798,0.000705219,3.269274926,,,,0.012658228,0.000524109,0,7.85703E-05
390,0.025193798,0.000705219,3.269274926,,,,0.012658228,0.000524109,0,7.85703E-05
391,0.025193798,0.000705219,3.269274926,,,,0.012658228,0.000524109,0,7.85703E-05
392,0.025193798,0.000705219,3.269274926,0.013422819,0.000489716,2.210713622,0.07278481,0.000709723,2551.047684,0.000987884
393,0.03875969,0.000723066,632.8872382,,,,0.028481013,0.000602047,643.2459938,5.28256E-05
230,0.034883721,0.000737463,9.658944677,,,,0.030063291,0.000626959,7.65618367,1.16183E-05
231,0.034883721,0.000737463,9.658944677,,,,0.030063291,0.000626959,7.65618367,1.16183E-05
232,0.034883721,0.000737463,9.658944677,,,,0.030063291,0.000626959,7.65618367,1.16183E-05
233,0.034883721,0.000737463,9.658944677,,,,0.030063291,0.000626959,7.65618367,1.16183E-05
234,0.034883721,0.000737463,9.658944677,,,,0.030063291,0.000626959,7.65618367,1.16183E-05
235,0.034883721,0.000737463,9.658944677,,,,0.030063291,0.000626959,7.65618367,1.16183E-05
236,0.034883721,0.000737463,9.658944677,,,,0.030063291,0.000626959,7.65618367,1.16183E-05
237,0.034883721,0.000737463,9.658944677,0.020134228,0.000489476,3.906122215,0.030063291,0.000626959,7.65618367,5.65617E-05
238,0.034883721,0.000737463,9.658944677,,,,0.030063291,0.000626959,7.65618367,1.16183E-05
58,0.042635659,0.000786782,56.54834497,0.11409396,0.000520291,87.59727971,0.055379747,0.000692521,226.5186461,0.001452677
466,0.013565891,0.000594884,0,,,,0.015822785,0.000578369,3.450076337,2.54678E-06
385,0.019379845,0.000680735,316.1702125,,,,0.02056962,0.000621118,161.6835888,7.07783E-07
467,0.013565891,0.000594884,0,,,,0.015822785,0.000578369,3.450076337,2.54678E-06
468,0.013565891,0.000594884,0,,,,0.015822785,0.000578369,3.450076337,2.54678E-06
469,0.013565891,0.000594884,0,,,,0.015822785,0.000578369,3.450076337,2.54678E-06
343,0.021317829,0.000594884,0.769221999,,,,0.014240506,0.000621118,14.3618194,2.50443E-05
344,0.021317829,0.000594884,0.769221999,,,,0.014240506,0.000621118,14.3618194,2.50443E-05
429,0.015503876,0.000637349,259.0679396,0.013422819,0.000492368,4.052105558,0.015822785,0.000639386,16.17039096,1.69872E-06
266,0.009689922,0.000524934,0,,,,0.007911392,0.000614628,15.85576993,1.58158E-06
325,0.031007752,0.000718391,63.87927195,,,,0.028481013,0.000606796,9.225951307,3.19221E-06
185,0.044573643,0.000786782,240.6521745,0.051454139,0.000543478,57.79442787,0.039556962,0.000698812,171.3787411,3.56752E-05
298,0.032945736,0.000718907,21.66669691,0.116331096,0.000518135,136.7180249,0.028481013,0.000640615,24.39302242,0.002448448
315,0.031007752,0.000745712,90.07959669,0.062639821,0.000513084,439.8714739,0.055379747,0.000671592,338.5180585,0.000274548
461,0.021317829,0.000745156,14.36409915,,,,0.017405063,0.000632511,13.12167895,7.65487E-06
462,0.021317829,0.000745156,14.36409915,,,,0.017405063,0.000632511,13.12167895,7.65487E-06
463,0.021317829,0.000745156,14.36409915,,,,0.017405063,0.000632511,13.12167895,7.65487E-06
13,0.023255814,0.000629327,0,,,,0.018987342,0.000534759,0,9.10993E-06
48,0.029069767,0.000757576,10.09262292,,,,0.063291139,0.000709723,439.1126365,0.000585551
83,0.042635659,0.000793021,119.6525181,,,,,,,#DIV/0!
85,0.015503876,0.000489237,2.173218571,,,,0.012658228,0.000591366,42.88233661,4.04886E-06
87,0.015503876,0.000771605,46.68271108,,,,0.012658228,0.00066357,28.78173027,4.04886E-06
88,0.007751938,0.000641026,8.776076189,,,,0.006329114,0.000542594,2.912795728,1.01221E-06
97,0.007751938,0.000610128,3.005542743,,,,0.006329114,0.000522193,0.940201789,1.01221E-06
118,0.011627907,0.000602773,0,,,,0.009493671,0.000500501,0,2.27748E-06
120,0.011627907,0.000716332,17.86090196,,,,0.009493671,0.000605327,10.03656089,2.27748E-06
180,0.042635659,0.000576037,0.075847839,,,,0.034810127,0.00070028,59.30735009,3.06195E-05
193,0.011627907,0.000623441,0.1,,,,0.03164557,0.000685401,549.8502823,0.000200353
205,0.034883721,0.000824402,82.01346103,,,,0.028481013,0.000706215,64.44578244,2.04973E-05
206,0.003875969,0.000616903,0.181008993,0.024608501,0.000471032,6.143544028,0.003164557,0.000547345,0.07997697,0.000148364
213,0.013565891,0.000636132,4.392185932,,,,0.011075949,0.000574383,0.438217461,3.09991E-06
214,0.027131783,0.000780031,119.635283,,,,0.025316456,0.000688705,112.7949424,1.64771E-06
221,0.034883721,0.00083612,151.5962613,0.020134228,0.000489716,1.961845034,0.028481013,0.000705716,98.96739127,5.47018E-05
223,0.015503876,0.000759301,20.54944018,,,,0.012658228,0.00064433,16.45203112,4.04886E-06
224,0.046511628,0.000861326,309.6688659,0.024608501,0.000512558,18.18576923,0.039556962,0.000729395,221.6564002,0.000125262
226,0.011627907,0.000719942,8.605861822,,,,0.028481013,0.000627746,348.9569343,0.000142014
239,0.034883721,0.000737463,9.658944677,,,,0.030063291,0.000626959,7.65618367,1.16183E-05
241,0.021317829,0.000644745,6.021332433,,,,0.017405063,0.00055991,5.47243548,7.65487E-06
255,0.025193798,0.000779423,65.14701219,,,,0.023734177,0.000666667,44.47070875,1.06525E-06
258,0.009689922,0.000488759,0,,,,0.007911392,0.000558036,1.588170028,1.58158E-06
260,0.046511628,0.000697837,49.3110258,,,,,,,#DIV/0!
261,0.007751938,0.000632511,19.20645487,,,,0.006329114,0.00055371,4.576311921,1.01221E-06
270,0.009689922,0.00048852,0,,,,0.007911392,0.000571429,3.042911304,1.58158E-06
280,0.034883721,0.00070028,220.2540561,,,,0.033227848,0.000621118,190.6817281,1.37096E-06
285,0.011627907,0.000491642,0.075847839,,,,0.009493671,0.000585138,5.322573397,2.27748E-06
282,0.003875969,0.000580046,0,,,,0.055379747,0.000742942,678.9301455,0.00132632
331,0.019379845,0.000739645,45.2387702,,,,0.017405063,0.00065703,25.74240154,1.94988E-06
336,0.034883721,0.000793021,130.8867253,,,,0.050632911,0.000707714,272.439126,0.000124019
338,0.067829457,0.000827815,161.7286142,0.031319911,0.000514403,120.7193733,0.071202532,0.000751315,285.6806942,0.000489158
340,0.027131783,0.000785546,74.86561322,0.015659955,0.000475059,1.527360369,0.049050633,0.000693963,459.2418727,0.000287829
311,0.015503876,0.000680735,48.42839549,0.125279642,0.000526039,341.1633552,,,,0.006025359
341,0.029069767,0.000750751,53.0907463,0.024608501,0.000506329,3.946521621,0.136075949,0.000749625,2168.179014,0.003982536
342,0.005813953,0.000657462,33.65555804,,,,,,,#DIV/0!
345,0.021317829,0.000594884,0.769221999,0.004474273,0.000461255,0.481460349,0.014240506,0.000621118,14.3618194,7.15289E-05
346,0.019379845,0.00074239,136.9899425,,,,,,,#DIV/0!
302,0.044573643,0.000827815,201.7611009,,,,0.041139241,0.00071582,119.2946085,5.89756E-06
306,0.034883721,0.000829876,171.9377996,0.147651007,0.000553403,988.3356867,0.045886076,0.000713776,303.4367028,0.003865602
314,0.013565891,0.000651466,34.96414822,,,,0.011075949,0.000561482,9.422861761,3.09991E-06
316,0.031007752,0.000745712,90.07959669,,,,0.026898734,0.00065703,101.041144,8.44201E-06
354,0.023255814,0.000764526,90.92292494,,,,0.025316456,0.00065703,47.19979051,2.12312E-06
351,0.029069767,0.000773994,196.8013718,0.098434004,0.000513875,32.37537398,0.041139241,0.000604961,29.94430038,0.001373293
362,0.01744186,0.000654022,1.249787142,0.046979866,0.000506586,157.7798016,0.061708861,0.000700771,76.17968651,0.000508167
364,0.007751938,0.000682594,0,0.017897092,0.000503018,15.66644555,0.03164557,0.000635324,76.4602007,0.000143808
365,0.015503876,0.000730994,24.12207932,,,,0.017405063,0.00061237,11.28769066,1.80726E-06
368,0.03875969,0.000806452,412.1167613,,,,0.03164557,0.000686342,388.8257756,2.53054E-05
370,0.009689922,0.000661376,36.24358179,,,,0.012658228,0.000574713,138.9326699,4.40542E-06
372,0.019379845,0.000763359,53.57677239,0.006711409,0.000462963,0,0.047468354,0.000646412,117.4840947,0.000435097
376,0.050387597,0.00076864,52.21796277,,,,0.061708861,0.000659631,269.19256,6.40855E-05
383,0.015503876,0.000687285,3.912877264,,,,0.012658228,0.000597015,4.531584781,4.04886E-06
386,0.058139535,0.000844595,305.293483,,,,0.050632911,0.000718391,244.3047504,2.81747E-05
363,0.023255814,0.000751315,52.49274199,0.042505593,0.000529101,70.45529985,0.018987342,0.000636943,41.63316397,0.00015698
366,0.025193798,0.000762195,83.49587571,0.020134228,0.000494805,5.611991791,0.033227848,0.000711238,186.1210676,4.3598E-05
394,0.025193798,0.000705219,3.269274926,,,,0.012658228,0.000524109,0,7.85703E-05
401,0.01744186,0.000660502,3.654692078,,,,0.014240506,0.000573723,2.131931398,5.12433E-06
347,0.009689922,0.000552792,0.258180708,0.118568233,0.000537346,337.8607442,0.107594937,0.000747943,1385.009261,0.003593382
407,0.001937984,0.000450045,0,0.013422819,0.000494071,3.623585989,0.001582278,0.000523286,0,4.53711E-05
408,0.001937984,0.000450045,0,,,,0.001582278,0.000523286,0,6.32634E-08
410,0.009689922,0.00049456,0.267901927,,,,0.02056962,0.000618812,140.8786483,5.91839E-05
412,0.011627907,0.000698324,12.22523937,,,,0.011075949,0.000613497,7.065450573,1.52329E-07
413,0.003875969,0.000450857,0.267901927,,,,0.003164557,0.000527426,7.53871066,2.53054E-07
414,0.013565891,0.00067981,108.5175898,0.049217002,0.000475285,10.47110744,,,,0.000635501
397,0.021317829,0.000754148,42.81977834,,,,0.017405063,0.000649773,23.59663398,7.65487E-06
415,0.009689922,0.000444247,0,0.015659955,0.000459348,0.03030303,0.007911392,0.000513875,0.013888889,1.64741E-05
418,0.007751938,0.000621891,5.898054198,,,,0.007911392,0.000572738,1.463055215,1.27129E-08
419,0.003875969,0.000450857,0.267901927,,,,0.003164557,0.000527426,7.53871066,2.53054E-07
350,0.007751938,0.000660066,8.063285984,,,,0.004746835,0.000558036,0.573732709,4.51532E-06
420,0.001937984,0.000450045,0,0.020134228,0.000504796,11.20547248,0.001582278,0.000523286,0,0.000112567
423,0.015503876,0.000517063,0,,,,0.012658228,0.000612745,15.3530381,4.04886E-06
424,0.005813953,0.000622665,34.1434916,,,,0.004746835,0.000557103,63.51428598,5.6937E-07
426,0.015503876,0.000664894,45.857948,0.031319911,0.000520291,27.05115389,0.033227848,0.00068306,361.2494808,9.46544E-05
427,0.003875969,0.000581395,0,0.111856823,0.000538213,674.968935,0.022151899,0.000608273,3.816048513,0.003340141
430,0.005813953,0.000622278,3.696649346,,,,,,,#DIV/0!
431,0.040697674,0.000673401,5.753918268,,,,0.060126582,0.00067659,155.8382232,0.000188741
349,0.007751938,0.000635728,1.577815029,,,,0.006329114,0.000554324,2.570956934,1.01221E-06
435,0.011627907,0.000627353,0.380560944,,,,0.009493671,0.000546747,0.944017125,2.27748E-06
436,0.005813953,0.000472813,0,,,,0.022151899,0.000604595,4.389211976,0.000133464
437,0.003875969,0.000567215,0.391515837,0.026845638,0.000492854,64.711031,0.007911392,0.000530786,4.794189848,0.000150399
439,0.011627907,0.000660939,46.35077946,,,,0.015822785,0.000613874,169.4588347,8.7985E-06
444,0.005813953,0.000646831,0.863579006,0.006711409,0.000475511,4.599243874,0.004746835,0.000560538,0.742936261,9.67286E-07
443,0.007751938,0.000660066,1.762996295,0.067114094,0.000516529,126.7598258,0.006329114,0.000557724,1.281678496,0.001203451
445,0.013565891,0.000704722,18.121945,,,,0.011075949,0.000596303,21.46394467,3.09991E-06
451,0.021317829,0.000702247,6.18364503,,,,0.087025316,0.000732601,913.5331953,0.002158737
456,0.011627907,0.000668449,20.2798233,,,,0.009493671,0.000589623,4.044581532,2.27748E-06
460,0.015503876,0.000718907,42.86527017,,,,0.023734177,0.000662252,135.1433951,3.38689E-05
459,0.007751938,0.000628931,8.524142599,,,,0.006329114,0.000554324,0.762859543,1.01221E-06
464,0.021317829,0.000745156,14.36409915,,,,0.017405063,0.000632511,13.12167895,7.65487E-06
465,0.007751938,0.000643501,0,,,,0.030063291,0.000647668,14.67325034,0.000248898
470,0.013565891,0.000594884,0,,,,0.015822785,0.000578369,3.450076337,2.54678E-06
471,0.032945736,0.00076864,294.1837908,,,,,,,#DIV/0!
472,0.013565891,0.000712758,11.94907484,0.013422819,0.000484496,4.219746094,0.011075949,0.000592417,9.301576414,1.95468E-06
477,0.025193798,0.000712251,48.22057779,,,,0.039556962,0.000668449,155.5261616,0.00010315
478,0.011627907,0.000694444,7.023638613,0.013422819,0.000488281,1.155859305,0.009493671,0.000572738,3.976647647,3.86915E-06
479,0.011627907,0.000694444,7.023638613,,,,0.009493671,0.000572738,3.976647647,2.27748E-06
480,0.013565891,0.000712758,11.94907484,0.017897092,0.00049456,5.611991791,0.039556962,0.000666223,78.04480429,0.000193908
483,0.005813953,0.000677507,2.078911132,0.03803132,0.000530223,71.1894503,0.07278481,0.000723066,693.6537599,0.00112181
482,0.011627907,0.000673854,15.17941065,0.026845638,0.000509424,21.08260573,0.018987342,0.000615385,80.34346835,5.79156E-05
484,0.025193798,0.00075815,20.5173593,,,,0.022151899,0.000657462,21.17221374,4.62658E-06
481,0.005813953,0.000621891,3.475848232,0.111856823,0.000537634,305.9486431,0.004746835,0.000542299,3.786512443,0.003786463
486,0.003875969,0.000538213,0,,,,0.003164557,0.000471698,0,2.53054E-07
489,0.009689922,0.000570125,0.548030858,,,,0.007911392,0.000533333,0.608356195,1.58158E-06
490,0.003875969,0.000638162,0.338071764,,,,0.003164557,0.000512821,0.299646075,2.53054E-07
491,0.001937984,0.000577034,0,,,,0.001582278,0.000481,0,6.32634E-08
499,0.007751938,0.000670691,2.159366766,,,,0.006329114,0.000560852,4.37037542,1.01221E-06
497,0.005813953,0.000594177,0.130441935,,,,0.004746835,0.000515198,0.094959173,5.6937E-07
500,0.001937984,0.000480769,0,0.071588367,0.000520562,109.1078757,0.001582278,0.000460617,0,0.001625359
501,0.001937984,0.000523286,0,0.082774049,0.000479616,0.793495029,,,,0.003267235
502,0.001937984,0.000523286,0,,,,0.001582278,0.00044484,0,6.32634E-08
503,0.001937984,0.000572738,0,,,,0.001582278,0.000504032,0,6.32634E-08
442,0.009689922,0.000645578,0.912381343,,,,0.007911392,0.000550964,0.071428571,1.58158E-06
505,0.001937984,0.000567537,0,0.147651007,0.000552181,759.1067445,0.099683544,0.000725689,808.4992076,0.005514559
506,0.001937984,0.000572738,0,,,,0.001582278,0.000521921,0,6.32634E-08
507,0.001937984,0.000572738,0,,,,0.007911392,0.000606428,6.110106387,1.78408E-05
508,0.001937984,0.000572738,0,,,,0.001582278,0.000521921,0,6.32634E-08
509,0.001937984,0.000572738,0,,,,0.001582278,0.000521921,0,6.32634E-08
