,r362,,,r397,,,r516,,,
ID,ëäëŒéüêî,closeness ,betweenness,ëäëŒéüêî,closeness ,betweenness,ëäëŒéüêî,closeness ,betweenness,ëäëŒéüêîÇÃsd
131,0.213178295,0.0008285,1641.323385,0.286353468,0.000550964,1190.499066,0.189873418,0.00073692,1832.725095,0.002534354
242,0.118217054,0.000763942,440.865343,0.024608501,0.000515198,22.93489455,0.107594937,0.000660939,312.1244316,0.002627023
132,0.228682171,0.00083612,1402.268165,0.22147651,0.000559284,1213.151332,0.251582278,0.000740741,2698.317959,0.000247116
292,0.058139535,0.000691563,175.0374965,,,,0.05221519,0.000590319,116.5232521,1.75489E-05
133,0.222868217,0.000815661,1108.695148,0.217002237,0.000533333,487.3196235,0.291139241,0.000744048,3009.938772,0.001698606
61,0.102713178,0.000743494,1316.864465,0.161073826,0.000491642,67.35281773,0.117088608,0.000670691,1641.383668,0.000924553
62,0.290697674,0.000856898,3568.020624,0.342281879,0.000553097,2599.77887,0.286392405,0.000775795,7452.95542,0.000967183
134,0.238372093,0.000818331,1032.147181,0.129753915,0.000545256,778.8505793,0.261075949,0.000739098,2004.795359,0.004926475
135,0.203488372,0.000859107,1700.625493,0.422818792,0.000576037,4458.251966,0.208860759,0.000731529,2126.237843,0.015652123
136,0.184108527,0.000796813,662.2411137,0.055928412,0.000514139,292.7671125,0.161392405,0.000660066,508.3396268,0.004678136
137,0.050387597,0.000632911,0.719018375,,,,0.039556962,0.000539374,0.386226755,5.86513E-05
138,0.125968992,0.000798722,766.7318173,0.140939597,0.000533618,832.1509282,0.188291139,0.00070922,1743.404433,0.00105839
139,0.085271318,0.000715308,914.7424197,0.067114094,0.000535045,127.4336948,0.088607595,0.000669344,831.7130202,0.000133798
140,0.05620155,0.000632911,0.719018375,,,,0.080696203,0.000603865,130.4180328,0.000299994
141,0.052325581,0.000653595,2.887875009,,,,0.044303797,0.000577034,8.753553491,3.21745E-05
142,0.298449612,0.000865801,3011.522517,0.178970917,0.000529101,203.3262245,0.276898734,0.000698812,1888.827433,0.004054909
144,0.03875969,0.000739645,141.0596409,,,,0.121835443,0.000711238,1114.363058,0.00345079
294,0.073643411,0.000669344,56.71098095,0.089485459,0.000545852,519.0821731,0.091772152,0.000681199,214.2737523,9.74751E-05
22,0.261627907,0.000841043,2614.490107,0.196868009,0.000547046,1019.828975,0.308544304,0.000772201,6575.311832,0.003144431
243,0.096899225,0.000727802,282.4721988,0.058165548,0.000527704,322.2847659,0.037974684,0.00067981,96.28292639,0.000896678
89,0.029069767,0.00070373,201.2079525,,,,0.023734177,0.000606061,129.9051724,1.42343E-05
145,0.027131783,0.000739098,270.9836219,,,,0.022151899,0.000634518,192.1534502,1.23996E-05
23,0.263565891,0.000862813,3014.320405,0.232662192,0.000547345,838.5291648,0.253164557,0.000701262,2476.020606,0.000247262
90,0.048449612,0.000632911,83.42988118,0.033557047,0.000516796,12.17654211,0.056962025,0.000674309,883.1980959,0.00014034
91,0.054263566,0.000722543,457.5623181,0.093959732,0.000549753,564.7116795,0.10443038,0.000757002,2111.332435,0.000700355
143,0.238372093,0.000854701,1086.368221,0.100671141,0.000501756,26.96194074,0.256329114,0.000736377,1965.906645,0.007252235
147,0.189922481,0.000761035,426.1605644,0.120805369,0.000516796,58.19485396,0.191455696,0.000696864,799.5474256,0.001628499
262,0.058139535,0.000820345,565.0997019,0.026845638,0.000504286,63.18466323,0.047468354,0.000690131,737.0748969,0.00025308
24,0.308139535,0.000954198,10068.07988,0.201342282,0.000561798,2066.819008,0.325949367,0.000820345,11621.71877,0.004541628
150,0.203488372,0.00083612,1228.91771,0.033557047,0.000516262,13.42839888,0.21835443,0.000747384,1733.003812,0.010541288
151,0.093023256,0.00078125,540.7093896,0.100671141,0.000522739,174.3251429,0.085443038,0.000755858,1205.486182,5.79742E-05
152,0.217054264,0.000816327,1194.419913,0.217002237,0.000545256,1061.928193,0.227848101,0.000738007,1853.866253,3.90237E-05
153,0.217054264,0.000816327,1194.419913,0.324384787,0.000559284,1843.826745,0.22943038,0.000733138,1778.188564,0.003448225
25,0.381782946,0.000868056,2877.293725,0.472035794,0.000566572,3644.660085,0.392405063,0.000772201,5150.509203,0.002433243
92,0.145348837,0.000808407,473.7322623,,,,0.125,0.000688705,411.783174,0.000207038
154,0.032945736,0.00063857,530.0422695,,,,0.049050633,0.000648929,744.785155,0.000129684
156,0.029069767,0.00071582,1252.274242,,,,0.023734177,0.000618047,807.2885168,1.42343E-05
157,0.083333333,0.000793651,214.4693502,0.051454139,0.000524384,113.4958335,0.077531646,0.00065445,166.8622629,0.00028833
93,0.319767442,0.000830565,2441.146534,0.279642058,0.000535619,893.4384292,0.286392405,0.000734214,3577.046138,0.000461584
158,0.240310078,0.000846024,1347.978858,0.25950783,0.000534474,680.8709916,0.256329114,0.000749625,3366.894351,0.000105878
159,0.197674419,0.000811688,1144.450774,0.140939597,0.000502008,62.10709029,0.27056962,0.000738552,2007.771139,0.004222749
318,0.129844961,0.000855432,460.0560057,0.18344519,0.000537924,522.1318169,0.125,0.000696864,179.2983068,0.00105205
160,0.042635659,0.000790514,356.5064991,0.055928412,0.000539665,48.68879014,0.036392405,0.000668003,211.4586613,9.95552E-05
127,0.215116279,0.000833333,3031.444243,0.357941834,0.000561482,3685.09008,0.224683544,0.000725689,2317.891679,0.006374741
63,0.215116279,0.000830565,901.4440806,0.225950783,0.000552181,1644.00731,0.174050633,0.000734214,937.4408084,0.000749567
161,0.040697674,0.000746826,92.54795848,0.004474273,0.00044484,11.89562004,0.042721519,0.00062461,91.67396112,0.00046318
26,0.125968992,0.000829876,1091.072346,0.1901566,0.000555864,742.0662968,0.212025316,0.000787402,5940.612436,0.002000663
319,0.091085271,0.000846024,964.8952877,0.100671141,0.000554631,132.7601598,0.126582278,0.000731529,752.7403252,0.000337219
296,0.05620155,0.000793021,153.9130512,0.120805369,0.000501002,292.2039974,0.136075949,0.000674764,190.4597545,0.001797794
155,0.102713178,0.000808407,1119.092991,,,,0.107594937,0.000672043,1390.616667,1.19158E-05
297,0.145348837,0.00082713,405.6317589,0.140939597,0.000530223,73.59211659,0.131329114,0.000704722,236.7277334,5.13926E-05
64,0.189922481,0.00082713,767.310451,0.046979866,0.000506073,10.69612215,0.159810127,0.000736377,866.0360403,0.005678335
263,0.079457364,0.000844595,485.9653488,0.017897092,0.00049975,5.438492184,0.075949367,0.00068918,431.8184896,0.00119534
