26,53,53,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,122,122,42,42,42,42,42,42,44,44,44,44,44,45,45,46,46,26,
27,98,98,99,99,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,160,160,95,95,95,95,96,96,99,99,99,99,98,98,98,99,99,27,
28,252,252,253,253,265,265,265,265,265,265,265,266,266,266,266,266,266,269,264,266,266,258,258,247,247,249,251,251,251,252,254,253,256,256,256,256,28,
29,60,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,96,96,56,56,56,56,56,56,60,60,60,60,60,60,60,61,61,29,
30,80,80,81,81,81,67,67,67,67,67,67,67,68,68,68,68,68,68,68,68,68,68,68,68,68,69,69,73,73,73,74,74,74,74,74,74,30,
31,92,92,93,93,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,96,96,99,99,99,99,98,98,98,99,99,31,
32,175,175,175,175,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,177,177,162,162,162,162,167,167,169,169,169,169,168,168,168,168,168,32,
33,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,103,103,39,39,39,39,39,39,43,43,43,43,43,43,43,44,44,33,
34,28,28,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,33,33,23,23,23,23,23,23,27,27,27,27,27,27,27,28,28,34,
35,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,39,39,39,39,39,39,39,40,40,35,
36,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,27,27,27,27,27,27,27,28,28,36,
37,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,27,27,27,27,27,27,27,28,28,37,
38,39,39,39,39,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,46,46,40,40,40,40,51,51,51,51,52,52,52,52,52,52,52,38,
39,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,56,56,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,39,
40,107,107,107,107,107,107,107,109,109,109,109,110,110,110,110,110,110,110,110,193,193,106,106,106,106,107,107,108,108,108,108,107,107,107,108,108,40,
41,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,41,
42,95,95,95,95,96,96,96,96,96,96,96,97,97,97,97,97,97,97,97,115,115,97,97,97,97,101,101,101,101,102,102,102,102,102,102,102,42,
43,105,105,105,105,106,106,106,106,106,106,106,107,107,107,107,107,107,107,107,109,109,109,109,109,109,113,113,113,113,111,111,111,115,115,115,115,43,
44,254,254,255,255,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,285,285,250,250,251,251,255,255,255,255,256,256,255,255,255,255,255,44,
45,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,54,54,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,45,
46,112,112,112,112,113,113,113,113,113,113,113,114,114,114,114,114,114,114,114,116,116,116,116,116,116,120,120,120,120,118,118,118,122,122,122,122,46,
47,112,112,112,112,113,113,113,113,113,113,113,114,114,114,114,114,114,114,114,116,116,116,116,116,116,120,120,120,120,118,118,118,122,122,122,122,47,
48,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48,
49,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49,
50,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,58,53,67,67,53,53,53,53,54,54,54,54,54,54,54,54,54,54,54,50,
51,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,80,80,80,80,80,80,80,80,80,80,51,
52,74,74,74,74,76,76,76,76,76,76,76,77,77,77,77,77,77,77,77,83,83,65,65,65,65,65,65,65,65,65,65,85,85,85,85,85,52,
53,82,82,82,82,82,82,82,83,83,83,83,84,84,84,84,84,84,84,84,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,71,71,53,
54,189,189,189,189,195,195,195,195,195,195,195,196,196,196,196,196,196,196,196,197,197,197,197,186,186,188,189,189,189,190,190,190,190,190,190,190,54,
55,50,50,50,50,51,51,51,51,51,51,51,51,51,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,55,
56,40,40,40,40,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,78,78,67,67,67,67,70,71,71,71,72,72,72,72,72,72,72,56,
57,133,133,133,133,134,133,133,133,133,133,133,134,134,134,134,134,134,134,134,134,134,134,134,134,134,135,135,135,135,136,136,136,136,136,136,136,57,
58,136,136,136,136,164,164,164,165,165,165,165,166,166,172,172,172,172,172,172,173,173,173,173,173,173,176,176,176,176,176,176,176,176,176,176,176,58,
59,75,75,75,75,74,74,74,74,74,74,74,77,77,77,77,77,77,77,77,77,77,77,77,77,77,79,79,79,79,80,80,80,80,80,80,80,59,
60,36,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,
61,124,124,124,124,122,121,121,121,121,121,121,127,127,127,127,127,127,127,127,158,158,127,127,127,127,127,127,127,127,128,128,128,128,128,128,128,61,
62,75,75,75,75,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,78,78,78,78,78,78,78,78,78,78,80,80,80,80,80,80,80,62,
63,115,115,115,115,118,118,118,118,118,118,118,119,119,119,119,119,119,124,124,132,132,125,125,125,125,127,126,126,126,127,127,127,127,127,127,127,63,
64,102,102,102,102,103,103,103,103,103,103,103,104,104,104,104,104,104,107,104,123,123,104,104,104,104,105,105,105,105,106,106,106,112,112,138,138,64,
